update:sample_set_id	lego_plotter_ram_gb	mutsig_ram_gb
TCGA-ACC-TP	7.5	7.5
TCGA-BLCA-TP	14.5	7.5
TCGA-BRCA-TP	11.5	7.5
TCGA-CESC-TP	9	7.5
TCGA-CHOL-TP	7.5	7.5
TCGA-COAD-TP	16.5	7.5
TCGA-COADREAD-TP	18.5	7.5
TCGA-DLBC-TP	7.5	7.5
TCGA-ESCA-TP	9.5	7.5
TCGA-GBM-TP	7.5	7.5
TCGA-HNSC-TP	13	7.5
TCGA-KICH-TP	7.5	7.5
TCGA-KIRC-TP	7.5	7.5
TCGA-KIRP-TP	7.5	7.5
TCGA-LAML-TB	7.5	7.5
TCGA-LGG-TP	9.5	7.5
TCGA-LIHC-TP	8	7.5
TCGA-LUAD-TP	18.5	7.5
TCGA-LUSC-TP	11	7.5
TCGA-MESO-TP	7.5	7.5
TCGA-OV-TP	7.5	7.5
TCGA-PAAD-TP	9.5	7.5
TCGA-PCPG-TP	7.5	7.5
TCGA-PRAD-TP	9	7.5
TCGA-READ-TP	7.5	7.5
TCGA-SARC-TP	7.5	7.5
TCGA-SKCM-TM	21	7.5
TCGA-STAD-TP	17	7.5
TCGA-TGCT-TP	7.5	7.5
TCGA-THCA-TP	7.5	7.5
TCGA-THYM-TP	7.5	7.5
TCGA-UCEC-TP	16.5	15
TCGA-UCS-TP	7.5	7.5
TCGA-UVM-TP	7.5	7.5
